,Gross enrollment ratio,,,,,,,,Children out of school,,,
,Preprimary,,Primary,,Secondary,,Tertiary,,"Primary school-age children, male",,"Primary school-age children, female",
,% of relevant age group,,% of relevant age group,,% of relevant age group,,% of relevant age group,,,,,
Papua New Guinea,43.2,45.8,108.5,116,..,47,..,..,27156,..,58959,..
Paraguay,43.8,51.1,..,..,..,..,..,..,..,..,..,..
Peru,89.2,102.9,100.2,121,97.6,110.6,71.1,..,..,..,..,..
Philippines,100,89,112.3,98.3,87.9,92,37.8,33.4,215431,222503,148709,256424
Poland,79.9,92.9,100.1,97.2,107.7,111.8,66.9,69.2,39525,16187,38026,11002
Portugal,93.4,94.4,107,107.4,118.8,120.6,61.8,67.9,2972,..,4830,..
Puerto Rico,37.6,..,90.9,..,86.5,..,96.1,..,22546,..,15636,..
Qatar,57.6,62.5,102.6,103.9,..,..,14.7,20.8,2520,2691,1832,258
Romania,85.1,93.7,89.2,87.5,92.9,88.1,46.7,51.4,41252,68977,41212,66026
Russian Federation,85,86,99.1,104.2,102.2,103.6,79.9,86.4,54539,..,26164,..
Rwanda,18.8,27.6,139.6,131.3,37.9,44.3,7.6,6.2,12606,62064,1351,59284
Samoa,36.1,40.5,106.4,117.9,94,..,13.7,17.2,..,..,..,..
San Marino,..,103.8,..,96.3,..,62.2,..,53.8,..,21,..,41
Sao Tome and Principe,47.4,..,105.3,..,82.5,..,13.4,..,1793,..,2024,..
Saudi Arabia,21.4,21.8,110.4,100.2,116.5,112.6,61.1,70.6,17679,93620,41291,83634
Senegal,15.4,16.9,84.9,83,50.9,46.6,10.8,14,325841,408979,238090,261999
Serbia,58.2,65.4,101.3,97.7,96.7,92.2,58.3,68.1,1253,3925,934,3747
Seychelles,94.4,96.5,104.4,100.8,81.4,78.3,14.4,14.7,..,..,..,..
Sierra Leone,9.3,20.8,116.1,141.3,39.1,..,..,..,10200,..,9053,..
Singapore,..,96.8,100.8,100.7,107.9,104.7,83.9,91.1,..,326,..,150
Sint Maarten (Dutch part),78.1,..,128.2,..,90.6,..,5.9,..,..,..,..,..
Slovak Republic,93.1,100,98.5,100.8,91,90.8,50.7,46.4,6676,3853,6683,3705
Slovenia,92,93,99.9,103,110.3,113,80.3,77.9,687,..,207,..
Solomon Islands,93.7,93.3,113.6,104.3,..,..,..,..,..,4776,..,2052
