AÑO,MUNICIPIO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,DESERCIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,Causas
2019,Vergara,Cundinamarca,1157,82.54,0.89,0.88,0.8,1.77,Sin acceso a computadoras
2019,Útica,Cundinamarca,679,86.6,0.98,0.84,0.83,1.15,Sin acceso a computadoras
2019,Une,Cundinamarca,1342,83.16,2.28,1.47,3.28,1.67,Sin acceso a computadoras
2019,Villa de San Diego de Ubate,Cundinamarca,9130,100.02,3.01,1.6,4.96,2.97,Sin acceso a computadoras
2019,Ubaque,Cundinamarca,1249,87.99,1.57,1.57,1.73,0.65,Sin acceso a computadoras
2019,Ubalá,Cundinamarca,1428,112.82,1.84,1.26,1.99,2.86,Sin acceso a computadoras
2019,Topaipí,Cundinamarca,709,87.87,2.34,1.82,2.76,2.56,Sin acceso a computadoras
2019,Tocaima,Cundinamarca,2686,82.65,5.34,4.71,5.68,2.73,Sin acceso a computadoras
2019,Tibirita,Cundinamarca,458,86.9,1.66,0.0,2.62,3.03,Sin acceso a computadoras
2019,Tibacuy,Cundinamarca,821,99.03,3.38,2.47,4.23,4.12,Sin acceso a computadoras
2019,Tenjo,Cundinamarca,4171,166.65,3.39,2.71,4.22,2.46,Sin acceso a computadoras
2019,Tena,Cundinamarca,1772,85.61,1.11,0.53,1.42,1.39,Sin acceso a computadoras
2019,Tausa,Cundinamarca,1795,96.32,1.74,1.28,2.28,1.67,Sin acceso a computadoras
2019,Tabio,Cundinamarca,4137,96.69,1.11,0.68,1.88,0.51,Sin acceso a computadoras
2019,Sutatausa,Cundinamarca,1321,87.66,0.92,0.98,0.82,0.0,Sin acceso a computadoras
2019,Susa,Cundinamarca,1429,68.51,1.23,0.45,1.74,1.96,Sin acceso a computadoras
2019,Supatá,Cundinamarca,953,91.71,0.98,1.04,1.5,0.0,Sin acceso a computadoras
2019,Suesca,Cundinamarca,3659,79.8,3.31,1.74,4.98,3.06,Sin acceso a computadoras
2019,Subachoque,Cundinamarca,2928,133.88,2.38,1.29,3.57,3.37,Sin acceso a computadoras
2019,Sopó,Cundinamarca,4871,101.5,1.67,1.04,2.42,1.54,Sin acceso a computadoras
2019,Soacha,Cundinamarca,137711,88.25,3.45,2.53,4.7,2.82,Sin acceso a computadoras
2019,Simijaca,Cundinamarca,2920,83.8,2.53,1.1,3.64,1.1,Sin acceso a computadoras
2019,Silvania,Cundinamarca,4183,87.74,3.41,2.35,4.22,4.57,Sin acceso a computadoras
2019,Sibaté,Cundinamarca,6544,100.29,3.21,1.99,4.28,3.05,Sin acceso a computadoras
2019,Sesquilé,Cundinamarca,2389,97.24,1.99,0.96,2.35,2.6,Sin acceso a computadoras
2019,Sasaima,Cundinamarca,2124,94.68,2.79,2.4,3.1,1.98,Sin acceso a computadoras
2019,San Juan de Río Seco,Cundinamarca,1497,98.66,1.9,2.1,1.47,0.48,Sin acceso a computadoras
2019,San Francisco,Cundinamarca,1984,84.07,3.64,2.4,4.86,6.7,Sin acceso a computadoras
2019,San Cayetano,Cundinamarca,934,87.69,1.52,0.91,2.02,1.64,Sin acceso a computadoras
2019,San Bernardo,Cundinamarca,1682,95.6,1.86,1.37,2.09,2.71,Sin acceso a computadoras
2019,San Antonio del Tequendama,Cundinamarca,2047,88.32,1.7,1.14,2.02,1.63,Sin acceso a computadoras
2019,Ricaurte,Cundinamarca,2414,68.81,5.81,2.63,9.71,5.92,Sin acceso a computadoras
2019,Apulo,Cundinamarca,1483,74.51,0.97,1.34,0.76,0.72,Sin acceso a computadoras
2019,Quipile,Cundinamarca,1067,107.03,3.27,1.33,6.4,0.65,Sin acceso a computadoras
2019,Quetame,Cundinamarca,1094,119.47,2.25,1.43,2.61,3.1,Sin acceso a computadoras
2019,Quebradanegra,Cundinamarca,783,94.38,2.49,0.71,4.29,0.0,Sin acceso a computadoras
2019,Pulí,Cundinamarca,626,73.0,3.02,1.35,4.24,6.25,Sin acceso a computadoras
2019,Puerto Salgar,Cundinamarca,2957,108.56,3.09,2.12,4.61,3.05,Sin acceso a computadoras
2019,Pasca,Cundinamarca,1867,116.66,1.37,0.87,1.4,1.75,Sin acceso a computadoras
2019,Paratebueno,Cundinamarca,2003,103.94,5.64,5.12,6.36,4.1,Sin acceso a computadoras
2019,Pandi,Cundinamarca,933,86.5,2.01,0.76,2.03,5.6,Sin acceso a computadoras
2019,Paime,Cundinamarca,815,81.72,2.46,1.08,3.52,2.48,Sin acceso a computadoras
2019,Pacho,Cundinamarca,4651,98.54,3.41,2.46,4.99,0.74,Sin acceso a computadoras
